D.O. (mg/l),CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),WaterHeadhgt( max),WaterHeadHgt (min),"ann_hwd,N,24,15","ann_wef,N,24,15","ann_wep,N,24,15",Hydropower_Type
6.7,203,3.834285714,337.9150769,257.3233333,250,5.1,5.82,Storage
5.7,189,2,355.28865,304.2884,239,5.5,6.04,Storage 
6.3,179,1.7,280.5556,264.4567,244,6.2,6.13,Storage 
5.8,64,3.8,550.2342,512.4568,186,6.5,6.13,Storage 
5.8,83,1.9,342.8965,300.3452,257,6.5,6.04,Run-of-River
5.5,81,1.5,449.2131,423.7689,255,6.3,6.02,Storage
6.1,308,1.4,84.321,52.735,213,5.5,5.82,Storage 
6.4,414,1,305.7685,257.6547,189,4.6,5.92,Pumped-storage 
6.4,305,2.2,180.5643,155.4678,197,5,6.04,Storage 
6.3,77,2.3,295.2376,280.5432,201,5.8,6.09,Storage 
7.1,176,1.2,654.7329,600.4378,179,6.2,5.81,Run-of-River
6.7,93,1.4,810.3452,790.5612,176,5.9,5.89,Storage
7.4,121,1.7,264.2276,245.6789,167,6.3,6.02,Run-of-River
6.9,620,1.1,950.8976,905.4564,172,3.1,6.11,Storage
6,72,1.6,234.6549,213.8834,170,3,6.02,Storage
7.3,247,1.5,534.7786,505.7845,162,3,6.32,Storage
7.3,188,1,60.2342,44.7798,215,4.1,6.33,Run-of-River
7,224,1.2,765.8874,745.8734,175,6,5.56,Run-of-River
7.3,144,1.5,330.6547,305.7649,211,5.7,5.64,Run-of-River
5.3,319,1.8,459.7786,432.8745,222,7.4,5.88,Run-of-River
6.3,79,1.6,508.8834,480.3456,209,6.7,6.12,Run-of-River
5.4,39,1.4,227.7685,209.7845,191,1.375,6.28,Storage 
2.2,322,4.7,376.7785,350.7654,181,0.9,6.21,Pumped Storage
5.2,192,2.6,49.875,32.561,183,0.3,6.6,
5.6,282,1.8,234.8976,205.4532,218,6.1,6.47,Storage 
5.5,275,1.5,564.7812,545.7612,239,8.3,5.45,Storage 
7.3,55,1.4,232.8834,203.9834,205,9.8,5.48,Storage
6.5,415,2,198.2376,170.8723,203,10.3,5.64,
7.2,100,1.5,360.6723,340.1234,184,7.8,6.12,Storage
6.6,95,4.9,765.3421,730.6534,190,10,6.56,Storage
6.9,99,5,657.4539,630.7634,195,12,6.5,Storage
6.8,85,5.2,234.9873,202.5623,218,11.9,6.86,Storage 
6.7,80,4.9,92.668,76.976,174,9.1,7.02,Storage 
5.1,3937,10.3,675.8923,645.7898,183,10.5,7.15,Storage
5.6,468,3.6,234.9977,200.4567,196,11,0,Storage 
6.4,541,5.7,300.4568,278.9876,201,13.6,5.46,Storage
5.5,6166,7.7,153.5647,128.8734,202,14.1,5.4,Storage
5.3,24062,9.9,567.987,534.6523,221,5.2,5.96,Run-of-River
6.7,83,4.8,232.6765,201.6578,221,10.1,6.89,Storage
3.6,4424,31.3,454.6709,415.7823,226,11.3,6.94,
7.2,226,3.1,345.9865,305.7865,158,11.7,7.24,
5.9,268,6.4,267.8765,222.8945,172,11.9,7.48,Run-of-River
5.4,2413,7.4,77.654,53.574,211,14.5,7.15,Run-of-River
5.8,384,5.4,453.9345,423.9845,221,15,7.13,Run-of-River
5.9,269,5.1,876.4456,845.98324,214,10.7,6.92,Storage 
6,269,8.5,450.98456,434.8734,230,12.1,7.03,Storage 
6.1,196,6.1,235.0987,205.7612,239,12.3,7.34,Run-of-River
5.9,269,6.4,118.9087,100.8795,233,12.5,7.4,
6.3,223,4.6,356.0934,325.8912,190,5.9,7.36,Storage 
6.7,9293,3.5,234.7658,200.76549,154,5.7,6.28,Storage 
6.8,170,3.1,657.9765,617.9245,166,5.6,7.16,Storage
6.8,4175,3.3,456.9086,431.8547,194,5.5,7.13,Storage 
6.9,4282,3.3,345.986,300.8659,205,5.4,7.01,Storage 
6.9,5551,3.4,912.9087,898.6547,242,5.3,6.98,Storage 
6.8,5390,4.9,66.845,40.7554,204,5.2,7.38,Storage
6.6,161,4.6,786.9345,745.9234,192,5.1,7.4,Storage
6.7,138,5,876.34556,850.4573,174,5.1,7.42,Storage
6.7,81,4.9,345.9876,315.0345,167,5,7.21,Storage
5.9,194,5.5,500.8765,470.4475,212,4.9,7.22,Storage
6.3,186,4.6,334.9087,300.4523,201,4.9,7.05,Storage
6.6,207,4.7,409.7854,380.6753,194,4.8,7,Storage
6.8,85,5,235.9875,203.8245,212,4.8,6.96,Storage
7.1,176,2.7,349.0987,310.5674,178,4.7,6.97,Storage
7,178,2.7,199.6754,170.4648,180,4.7,7.39,Storage
7.2,180,2.7,456.987,527.9465,179,4.7,7.42,Storage
6.7,85,1.4,276.9087,240.8678,162,4.6,7.42,Storage
5.8,77,1.4,566.9045,540.5623,199,4.6,7.08,Storage
6.6,75,1.4,287.90679,258.9459,177,4.5,7.04,
6.7,82,1.4,578.09765,550.6753,176,4.5,6.99,
